,text,label
0,Next.,0
1,My window is open.,0
2,"Yes, Jones.",2
3,"No, I need your ID to give you a second ID.",0
4,It's really simple if you have a problem with it... Maybe you should--,0
5,"No, I don't have a passport.",2
6,What do you expect me to do?,0
7,Probably.,0
8,Did you even look at the form? I filled it out all these questions--,0
9,Don't raise your voice with me.,0
10,Don't talk to me like I'm a child.,0
11,Do you know how long I've been working here? How long have you lived in California?,0
12,"Maybe you never been to the D.M.V. before, maybe you should get back in line. You know what? sit in line again and if you get my number ask for different one.",0
13,I am not...I'm not getting to back that line.,0
14,Uh huh. I didn't come here get in yelling match either.,2
15,They don't pay me enough to deal people like you.,2
16,Why?,0
17,"Why, because I'm sick of talking to you.",0
18,"'Cause you're obviously not talking to me, you're just yelling at me, berating me and telling me I can't fill out forms right.",0
19,"Hey, Joy come in here.",2
20,What's happening?,2
21,I have to go back.,3
22,I just got a letter I have to go back.,3
23,First thing tomorrow morning.,3
24,"The National Guard is I guess really spread thin and then everyone has to go. We all have to go back, my whole companies going back.",3
25,"So yeah, we leave tomorrow...",3
26,...we're all shipping out.,3
27,I just got I feel like I'm in shock actually.,3
28,I don't even know what to tell you.,3
29,I don't know.,3
30,What about the birthday party?,3
31,I guess you're just going to have to have it without me.,3
32,"Hey listen, it's going to be okay though, all right?",3
33,You're going to be fine.,3
34,"I'm going to be fine too, okay?",3
35,I know I have a good... I have a really good group of guys with me.,3
36,We're going to be okay.,3
37,You're going with the same ones?,3
38,Do promise me you're going to take a lot of pictures.,3
39,I know.,3
40,It's not the same though.,3
41,I just wish there was something I could do.,3
42,Run away?,3
43,Mm hmm. We'll build a bunker and never come out.,3
44,"I really don't want to go, I don't want to go...",3
45,Don't say that.,3
46,I love you.,3
47,The craziest thing just happened to me.,1
48,This girl; she just offered me fifty thousand dollars to marry her.,1
49,Why?,1
50,"Well, she's not a citizen so she wants to get a visa.",2
51,Is she on the run?,1
52,"No, no, no, no, no, no she just... she's not a citizen but she wants her visa, yeah. She's going to pay me fifty thousand dollars to marry her and stay married to her for two years.",1
53,"Oh, she just needs to marry you.",1
54,That's incredible. That's awesome. Where's she from? Maybe you can get a dual citizenship.,1
55,That's like twenty five thousand dollar a year for doing nothing. Isn't that awesome?,1
56,"She's actually from England, I think. Well she- she spoke English but she had an accent. I didn't even ask.",2
57,That's so cool. Uh huh.,1
58,[LAUGHTER] Why did she pick you? Where were you?,1
59,"Fifty thousand dollars. Fifty thousand dollars. I was just out... I just... she's - well, she's a friend of friend but like...",1
60,You were at a party? And she's like hey. You seem unattached she's like.,1
61,"Yeah. Can you believe that? Yeah, she's like hey, I'm like sure I'll do it, I don't care. Yeah. I'm like fifty thousand dollars, I'd totally do it for fifty thousand dollars. But the only thing is that's kind of like illegal. So like I could go to jail probably for a long if I get caught, but...",1
62,That's unbelievable... Yeah.,1
63,Well I've known people who have done this before. Yeah. You just- it's really fun actually 'cause you have like a fake engagement party and all your friends come over and like...,1
64,It's like I'm really going to get married. We'll have like the whole thing.,1
65,"Oh, good. [LAUGHTER]",1
66,"Yeah. Yeah. And then yeah, and then you know like you could like you could do like like sock her for a lot of money",1
67,I know. What do you think I should-,1
68,"Like make her rent the apartment that you two have to live together in, you know. And you won't pay any rent or you pay like, a hundred bucks a month or something.",1
69,Oh good idea.,1
70,Yeah. Make her like open the bank account and stuff too.,2
71,Yeah.,1
72,It's a good idea.,1
73,"Dude, you lucked out.",1
74,I know. Also I get to like plan the wedding now too. That will be fun.,1
75,"Yeah. My colors are blush and beige what is it, do you know?",1
76,"Something blue, something new, something... no I don't know. [LAUGHTER] So yeah, wonder if she's going to pay me up front but do you think it's bad though, do you think they're going to like track the money or something?",1
77,Oh I don't know. [LAUGHTER],1
78,I don't know get it in cash.,2
79,Just cash hardcore.,2
80,Yeah.,2
81,What should we do? Where should we get married? We should have party.,1
82,How exciting. You should have a wedding on the beach.,1
83,"Yeah, like a big like- A wedding on the beach, that would be nice.",1
84,"Yeah, at night.",1
85,And then we can honeymoon. I want to go tropical though like Bahamas- --or like Tahiti or something. I just want to like beach and like drink.,2
86,"Oh yeah, absolutely, absolutely.",2
87,How exciting. You should make her bring all your friends too.,1
88,I'll make her pay for that. I hear she's like totally wealthy. She's like royalty- --or something like and- --whatever like removed or something but yeah.,1
89,[GARBAGE] She's got to be loaded. fifty thousand dollars. That's incredible.,1
90,Incredible.,1
91,I'm going to marry a blue blood. [LAUGHTER],1
92,"you're a lucky, lucky, lucky man.",1
93,Will you help me plan?,1
94,"Oh, totally. Yeah.",1
